GeneID,Source
DDB_G0267364,dictyBase
DDB_G0267372,dictyBase
DDB_G0267304,dictyBase
DDB_G0267338,dictyBase
DDB_G0267356,dictyBase
DDB_G0270464,dictyBase
DDB_G0267280,dictyBase
DDB_G0268942,dictyBase
DDB_G0269268,dictyBase
DDB_G0268340,dictyBase
DDB_G0270852,dictyBase
DDB_G0270860,dictyBase
DDB_G0269064,dictyBase
DDB_G0270648,dictyBase
DDB_G0271194,dictyBase
DDB_G0273327,dictyBase
DDB_G0273329,dictyBase
DDB_G0276011,dictyBase
DDB_G0276323,dictyBase
DDB_G0272270,dictyBase
DDB_G0276329,dictyBase
DDB_G0275947,dictyBase
DDB_G0274839,dictyBase
DDB_G0276201,dictyBase
DDB_G0277281,dictyBase
DDB_G0277765,dictyBase
DDB_G0281533,dictyBase
DDB_G0279389,dictyBase
DDB_G0279867,dictyBase
DDB_G0282083,dictyBase
DDB_G0279691,dictyBase
DDB_G0286101,dictyBase
DDB_G0286503,dictyBase
DDB_G0291620,dictyBase
DDB_G0292062,dictyBase
DDB_G0292374,dictyBase
DDB_G0291878,dictyBase
DDB_G0289049,dictyBase
DDB_G0292798,dictyBase
DDB_G0292352,dictyBase
DDB_G0293142,dictyBase
DDB_G0291884,dictyBase
DDB_G0293732,dictyBase
DDB_G0293344,dictyBase
DDB_G0293630,dictyBase
DDB_G0280521,dictyBase
DDB_G0277067,dictyBase
DDB_G0276009,dictyBase
DDB_G0276397,dictyBase
DDB_G0285317,dictyBase
DDB_G0291067,dictyBase
DDB_G0292516,dictyBase
DDB_G0293158,dictyBase
DDB_G0267300,dictyBase
DDB_G0267302,dictyBase
DDB_G0267310,dictyBase
DDB_G0267322,dictyBase
DDB_G0267336,dictyBase
DDB_G0267186,dictyBase
DDB_G0267258,dictyBase
DDB_G0268598,dictyBase
DDB_G0268128,dictyBase
DDB_G0268724,dictyBase
DDB_G0270840,dictyBase
DDB_G0271026,dictyBase
DDB_G0267780,dictyBase
DDB_G0269956,dictyBase
DDB_G0270638,dictyBase
DDB_G0273663,dictyBase
DDB_G0271154,dictyBase
DDB_G0273879,dictyBase
DDB_G0274763,dictyBase
DDB_G0273897,dictyBase
DDB_G0277783,dictyBase
DDB_G0281453,dictyBase
DDB_G0277521,dictyBase
DDB_G0277713,dictyBase
DDB_G0276979,dictyBase
DDB_G0281107,dictyBase
DDB_G0281245,dictyBase
DDB_G0282335,dictyBase
DDB_G0282755,dictyBase
DDB_G0282907,dictyBase
DDB_G0281449,dictyBase
DDB_G0285089,dictyBase
DDB_G0282509,dictyBase
DDB_G0285547,dictyBase
DDB_G0282541,dictyBase
DDB_G0287117,dictyBase
DDB_G0292372,dictyBase
DDB_G0292548,dictyBase
DDB_G0291686,dictyBase
DDB_G0291882,dictyBase
DDB_G0291958,dictyBase
DDB_G0293342,dictyBase
DDB_G0284445,dictyBase
DDB_G0290749,dictyBase
DDB_G0293452,dictyBase
DDB_G0267206,dictyBase
DDB_G0267202,dictyBase
DDB_G0267272,dictyBase
DDB_G0268596,dictyBase
DDB_G0268958,dictyBase
DDB_G0270274,dictyBase
DDB_G0268524,dictyBase
DDB_G0269264,dictyBase
DDB_G0271568,dictyBase
DDB_G0271448,dictyBase
DDB_G0272292,dictyBase
DDB_G0273761,dictyBase
DDB_G0271352,dictyBase
DDB_G0272400,dictyBase
DDB_G0270650,dictyBase
DDB_G0270792,dictyBase
DDB_G0272268,dictyBase
DDB_G0275221,dictyBase
DDB_G0274645,dictyBase
DDB_G0274647,dictyBase
DDB_G0274671,dictyBase
DDB_G0276249,dictyBase
DDB_G0274837,dictyBase
DDB_G0276171,dictyBase
DDB_G0277779,dictyBase
DDB_G0279077,dictyBase
DDB_G0279217,dictyBase
DDB_G0282785,dictyBase
DDB_G0282797,dictyBase
DDB_G0279931,dictyBase
DDB_G0282703,dictyBase
