Chromosome,Start,End,Type,Family,GeneID
1,71288,71956,DNA/CMC-EnSpm,rnd-1_family-119,
1,71288,71868,DNA/CMC-EnSpm,rnd-1_family-119,
1,71845,71956,DNA/CMC-EnSpm,rnd-1_family-119,
1,93436,93868,DNA/CMC-EnSpm,rnd-1_family-119,
1,160891,161833,DNA/CMC-EnSpm,rnd-1_family-119,
1,192104,192766,DNA/CMC-EnSpm,rnd-1_family-119,
1,4910727,4910924,DNA/CMC-EnSpm,rnd-1_family-119,
1,12438,13439,DNA/CMC-EnSpm,rnd-1_family-39,
1,20538,20742,DNA/CMC-EnSpm,rnd-1_family-39,
1,39926,41559,DNA/CMC-EnSpm,rnd-1_family-39,
1,63924,65551,DNA/CMC-EnSpm,rnd-1_family-39,
1,69120,70946,DNA/CMC-EnSpm,rnd-1_family-39,
1,90693,92502,DNA/CMC-EnSpm,rnd-1_family-39,
1,94646,95958,DNA/CMC-EnSpm,rnd-1_family-39,
1,109684,110341,DNA/CMC-EnSpm,rnd-1_family-39,
1,113146,113460,DNA/CMC-EnSpm,rnd-1_family-39,
1,142027,142677,DNA/CMC-EnSpm,rnd-1_family-39,
1,153484,154604,DNA/CMC-EnSpm,rnd-1_family-39,
1,158711,160537,DNA/CMC-EnSpm,rnd-1_family-39,
1,181191,181841,DNA/CMC-EnSpm,rnd-1_family-39,
1,195915,196778,DNA/CMC-EnSpm,rnd-1_family-39,
1,4912133,4914314,DNA/CMC-EnSpm,rnd-1_family-39,
1,4912133,4912865,DNA/CMC-EnSpm,rnd-1_family-39,
1,4913501,4914314,DNA/CMC-EnSpm,rnd-1_family-39,
1,20738,21440,DNA/CMC-EnSpm,rnd-1_family-94,
1,41336,42121,DNA/CMC-EnSpm,rnd-1_family-94,
1,65328,66116,DNA/CMC-EnSpm,rnd-1_family-94,
1,70723,71801,DNA/CMC-EnSpm,rnd-1_family-94,
1,92503,92548,DNA/CMC-EnSpm,rnd-1_family-94,
1,93860,94646,DNA/CMC-EnSpm,rnd-1_family-94,
1,109270,109907,DNA/CMC-EnSpm,rnd-1_family-94,
1,160314,161407,DNA/CMC-EnSpm,rnd-1_family-94,
1,199204,199274,DNA/PIF-Harbinger,rnd-1_family-11,
1,478928,478962,DNA/PIF-Harbinger,rnd-1_family-11,
1,530248,530337,DNA/PIF-Harbinger,rnd-1_family-11,
1,576685,576753,DNA/PIF-Harbinger,rnd-1_family-11,
1,663642,663738,DNA/PIF-Harbinger,rnd-1_family-11,
1,687903,687997,DNA/PIF-Harbinger,rnd-1_family-11,
1,752394,752456,DNA/PIF-Harbinger,rnd-1_family-11,
1,792388,792467,DNA/PIF-Harbinger,rnd-1_family-11,
1,850048,850273,DNA/PIF-Harbinger,rnd-1_family-11,
1,879250,879346,DNA/PIF-Harbinger,rnd-1_family-11,
1,937513,937662,DNA/PIF-Harbinger,rnd-1_family-11,
1,1004652,1004723,DNA/PIF-Harbinger,rnd-1_family-11,
1,1043277,1043442,DNA/PIF-Harbinger,rnd-1_family-11,
1,1043277,1043291,DNA/PIF-Harbinger,rnd-1_family-11,
1,1043368,1043442,DNA/PIF-Harbinger,rnd-1_family-11,
1,1073210,1073320,DNA/PIF-Harbinger,rnd-1_family-11,
1,1107068,1107129,DNA/PIF-Harbinger,rnd-1_family-11,
1,1138798,1138879,DNA/PIF-Harbinger,rnd-1_family-11,
1,1176263,1176416,DNA/PIF-Harbinger,rnd-1_family-11,
1,1193998,1194150,DNA/PIF-Harbinger,rnd-1_family-11,
1,1360575,1360733,DNA/PIF-Harbinger,rnd-1_family-11,
1,1649486,1649566,DNA/PIF-Harbinger,rnd-1_family-11,
1,1711081,1711184,DNA/PIF-Harbinger,rnd-1_family-11,
1,1764748,1764826,DNA/PIF-Harbinger,rnd-1_family-11,
1,1785633,1785708,DNA/PIF-Harbinger,rnd-1_family-11,
1,1786372,1786448,DNA/PIF-Harbinger,rnd-1_family-11,
1,1871394,1871548,DNA/PIF-Harbinger,rnd-1_family-11,
1,1987088,1987202,DNA/PIF-Harbinger,rnd-1_family-11,
1,2060771,2060874,DNA/PIF-Harbinger,rnd-1_family-11,
1,2112266,2112327,DNA/PIF-Harbinger,rnd-1_family-11,
1,2116986,2117048,DNA/PIF-Harbinger,rnd-1_family-11,
1,2121793,2121922,DNA/PIF-Harbinger,rnd-1_family-11,
1,2159550,2159610,DNA/PIF-Harbinger,rnd-1_family-11,
1,2180451,2180552,DNA/PIF-Harbinger,rnd-1_family-11,
1,2212762,2212790,DNA/PIF-Harbinger,rnd-1_family-11,
1,2665720,2665888,DNA/PIF-Harbinger,rnd-1_family-11,
1,2759453,2759537,DNA/PIF-Harbinger,rnd-1_family-11,
1,2785788,2785959,DNA/PIF-Harbinger,rnd-1_family-11,
1,2794074,2794086,DNA/PIF-Harbinger,rnd-1_family-11,
1,2818995,2819108,DNA/PIF-Harbinger,rnd-1_family-11,
1,2940627,2940789,DNA/PIF-Harbinger,rnd-1_family-11,
1,3129907,3129988,DNA/PIF-Harbinger,rnd-1_family-11,
1,3152673,3152796,DNA/PIF-Harbinger,rnd-1_family-11,
1,3217276,3217349,DNA/PIF-Harbinger,rnd-1_family-11,
1,3318807,3318958,DNA/PIF-Harbinger,rnd-1_family-11,
1,3335262,3335410,DNA/PIF-Harbinger,rnd-1_family-11,
1,3340819,3340983,DNA/PIF-Harbinger,rnd-1_family-11,
1,3490942,3491029,DNA/PIF-Harbinger,rnd-1_family-11,
1,3497283,3497417,DNA/PIF-Harbinger,rnd-1_family-11,
1,3562450,3562593,DNA/PIF-Harbinger,rnd-1_family-11,
1,3780333,3780464,DNA/PIF-Harbinger,rnd-1_family-11,
1,3802192,3802251,DNA/PIF-Harbinger,rnd-1_family-11,
1,3979781,3979844,DNA/PIF-Harbinger,rnd-1_family-11,
1,4095001,4095178,DNA/PIF-Harbinger,rnd-1_family-11,
1,4116667,4117128,DNA/PIF-Harbinger,rnd-1_family-11,
1,4132773,4132879,DNA/PIF-Harbinger,rnd-1_family-11,
1,4178440,4178498,DNA/PIF-Harbinger,rnd-1_family-11,
1,4182142,4182295,DNA/PIF-Harbinger,rnd-1_family-11,
1,4405488,4405658,DNA/PIF-Harbinger,rnd-1_family-11,
1,4476871,4476907,DNA/PIF-Harbinger,rnd-1_family-11,
1,4517645,4517715,DNA/PIF-Harbinger,rnd-1_family-11,
1,4529145,4529165,DNA/PIF-Harbinger,rnd-1_family-11,
1,4675336,4675396,DNA/PIF-Harbinger,rnd-1_family-11,
1,4868758,4868867,DNA/PIF-Harbinger,rnd-1_family-11,
1,4902387,4902517,DNA/PIF-Harbinger,rnd-1_family-11,
1,266413,266466,DNA/PIF-Harbinger,rnd-2_family-192,
1,284902,284974,DNA/PIF-Harbinger,rnd-2_family-192,
1,311426,311539,DNA/PIF-Harbinger,rnd-2_family-192,
1,356652,356733,DNA/PIF-Harbinger,rnd-2_family-192,
1,583242,583285,DNA/PIF-Harbinger,rnd-2_family-192,
1,615726,615938,DNA/PIF-Harbinger,rnd-2_family-192,
1,789959,790077,DNA/PIF-Harbinger,rnd-2_family-192,
1,933207,933420,DNA/PIF-Harbinger,rnd-2_family-192,
1,987525,987707,DNA/PIF-Harbinger,rnd-2_family-192,
1,1057883,1057956,DNA/PIF-Harbinger,rnd-2_family-192,
1,1099318,1099495,DNA/PIF-Harbinger,rnd-2_family-192,
1,1163647,1163880,DNA/PIF-Harbinger,rnd-2_family-192,
1,1186271,1186433,DNA/PIF-Harbinger,rnd-2_family-192,
1,1189131,1189168,DNA/PIF-Harbinger,rnd-2_family-192,
1,1195535,1195699,DNA/PIF-Harbinger,rnd-2_family-192,
1,1222344,1222608,DNA/PIF-Harbinger,rnd-2_family-192,
1,1222762,1222896,DNA/PIF-Harbinger,rnd-2_family-192,
1,1334474,1334656,DNA/PIF-Harbinger,rnd-2_family-192,
1,1620183,1620260,DNA/PIF-Harbinger,rnd-2_family-192,
1,1635785,1635853,DNA/PIF-Harbinger,rnd-2_family-192,
