Scaffold,CoveredLength,ScaffoldLength,CoveragePerc
CH709167,2306,2308,99.91334488734836
4,213995,5450249,3.926334374814802
1,459280,4923596,9.32814146408438
CH709156,2582,6581,39.23415894240997
CH709157,3940,3947,99.82265011401064
CH709160,3850,8346,46.12988257848071
CH709164,2182,3280,66.52439024390245
2,463396,8484197,5.461872231396796
6,273079,3602379,7.5805183185889105
CH709148,7975,11086,71.93757892837813
CH709169,2695,3905,69.01408450704226
CH709176,0,2486,0.0
CH709171,1005,7355,13.664174031271244
CH709151,3466,4957,69.92132338107726
CH709174,2478,5179,47.84707472485036
CH709172,1646,2343,70.25181391378574
CH709149,1222,2594,47.10871241326137
5,179565,5125352,3.5034666887269403
CH709153,927,12018,7.713429855217174
CH709180,0,4068,0.0
CH709152,309,4050,7.629629629629629
CH709175,2912,5697,51.11462173073548
CH709168,1685,5151,32.712094738885654
CH709154,579,2584,22.407120743034056
CH709166,979,1953,50.12800819252432
CH709150,1363,2216,61.5072202166065
CH709162,1004,2617,38.36453954910202
CH709161,3051,8929,34.169559861126665
CH709170,3982,5100,78.07843137254902
CH709181,313,2525,12.396039603960396
CH709158,1868,9512,19.638351555929354
CH709182,2772,39796,6.965524173283748
CH709159,1277,3759,33.97180101090716
CH709155,2855,4502,63.41625944024878
CH709173,1776,4495,39.51056729699666
CH709178,134,2239,5.984814649397052
CH709177,0,2149,0.0
CH709179,533,3655,14.582763337893297
3,331125,6357299,5.208579933081644
