Scaffold,CoveredLength,ScaffoldLength,CoveragePerc
CH709167,2308,2308,100.0
4,1155845,5450249,21.20719622167721
1,1276065,4923596,25.91733765321119
CH709156,846,6581,12.855189180975534
CH709157,3947,3947,100.0
CH709160,1976,8346,23.67601246105919
CH709164,3133,3280,95.51829268292683
2,1765565,8484197,20.810042482511896
6,848392,3602379,23.5508812370936
CH709148,7981,11086,71.99170124481327
CH709169,3022,3905,77.38796414852753
CH709176,0,2486,0.0
CH709171,0,7355,0.0
CH709151,3466,4957,69.92132338107726
CH709174,3404,5179,65.72697431936668
CH709172,1651,2343,70.46521553563807
CH709149,1222,2594,47.10871241326137
5,1040997,5125352,20.310741584187777
CH709153,1157,12018,9.627225827924779
CH709180,0,4068,0.0
CH709152,309,4050,7.629629629629629
CH709175,1980,5697,34.75513428120063
CH709168,1068,5151,20.73383808969132
CH709154,622,2584,24.071207430340557
CH709166,979,1953,50.12800819252432
CH709150,1370,2216,61.8231046931408
CH709162,673,2617,25.716469239587315
CH709161,2510,8929,28.110650688766942
CH709170,3318,5100,65.05882352941177
CH709181,313,2525,12.396039603960396
CH709158,5696,9512,59.882253994953736
CH709182,0,39796,0.0
CH709159,1277,3759,33.97180101090716
CH709155,2856,4502,63.43847179031542
CH709173,0,4495,0.0
CH709178,134,2239,5.984814649397052
CH709177,0,2149,0.0
CH709179,1478,3655,40.437756497948016
3,1481956,6357299,23.311094853333152
