Scaffold,CoveredLength,ScaffoldLength,CoveragePerc
CH709167,2308,2308,100.0
4,1388102,5450249,25.468597856721775
1,1466445,4923596,29.78402370950013
CH709156,2872,6581,43.64078407536848
CH709157,3947,3947,100.0
CH709160,5554,8346,66.54684878983944
CH709164,3133,3280,95.51829268292683
2,2098553,8484197,24.734845265851323
6,1055008,3602379,29.286424332364806
CH709148,7981,11086,71.99170124481327
CH709169,3022,3905,77.38796414852753
CH709176,0,2486,0.0
CH709171,1007,7355,13.691366417403128
CH709151,3466,4957,69.92132338107726
CH709174,3404,5179,65.72697431936668
CH709172,1651,2343,70.46521553563807
CH709149,1222,2594,47.10871241326137
5,1283421,5125352,25.04064111108856
CH709153,1269,12018,10.559161258112832
CH709180,0,4068,0.0
CH709152,309,4050,7.629629629629629
CH709175,3425,5697,60.11936106722836
CH709168,1688,5151,32.77033585711512
CH709154,622,2584,24.071207430340557
CH709166,979,1953,50.12800819252432
CH709150,1370,2216,61.8231046931408
CH709162,1047,2617,40.0076423385556
CH709161,3242,8929,36.30865718445514
CH709170,4492,5100,88.07843137254902
CH709181,313,2525,12.396039603960396
CH709158,5696,9512,59.882253994953736
CH709182,2790,39796,7.010754849733641
CH709159,1277,3759,33.97180101090716
CH709155,2856,4502,63.43847179031542
CH709173,1776,4495,39.51056729699666
CH709178,134,2239,5.984814649397052
CH709177,0,2149,0.0
CH709179,1478,3655,40.437756497948016
3,1782872,6357299,28.044488705030236
